store_name,street,city,state,zip_code,phone,store_url,latitude,longitude,split
Agoura Hills (247),28941 Canwood St,Agoura Hills,CA,91301,818-865-8217,https://locations.traderjoes.com/ca/agoura-hills/247/,34.146489,-118.7565773,train
Aliso Viejo (195),26541 Aliso Creek Rd,Aliso Viejo,CA,92656,949-643-5531,https://locations.traderjoes.com/ca/aliso-viejo/195/,33.5775084,-117.7248421,train
Arroyo Grande (117),955 Rancho Pkwy,Arroyo Grande,CA,93420,805-474-6114,https://locations.traderjoes.com/ca/arroyo-grande/117/,35.1263213,-120.594975,train
Bakersfield (14),"8200 Stockdale Hwy, #C21",Bakersfield,CA,93311,661-837-8863,https://locations.traderjoes.com/ca/bakersfield/14/,,,train
Berkeley (186),1885 University Ave,Berkeley,CA,94703,510-204-9074,https://locations.traderjoes.com/ca/berkeley/186/,37.8713759,-122.2734567,train
Brea (11),2500 E Imperial Hwy,Brea,CA,92821,714-257-1180,https://locations.traderjoes.com/ca/brea/11/,33.9105756,-117.8706382,train
Brentwood (201),5451 Lone Tree Way,Brentwood,CA,94513,925-516-3044,https://locations.traderjoes.com/ca/brentwood/201/,37.9606971,-121.7499866,train
Burbank (124),214 E Alameda Ave,Burbank,CA,91502,818-848-4299,https://locations.traderjoes.com/ca/burbank/124/,34.1746658,-118.2997343,train
Calabasas (254),23741 Calabasas Rd.,Calabasas,CA,91302,818-591-6758,https://locations.traderjoes.com/ca/calabasas/254/,34.1555363,-118.6447547,train
Camarillo (114),363 Carmen Dr,Camarillo,CA,93010,805-388-1925,https://locations.traderjoes.com/ca/camarillo/114/,34.220633,-119.0505754,train
Campbell (73),1875 Bascom Ave,Campbell,CA,95008,408-369-7823,https://locations.traderjoes.com/ca/campbell/73/,37.2888018,-121.9330289,train
Capitola (64),"3555 Clares St, #D",Capitola,CA,95010,831-464-0115,https://locations.traderjoes.com/ca/capitola/64/,,,train
Carlsbad (220),2629 Gateway Rd,Carlsbad,CA,92009,760-603-8473,https://locations.traderjoes.com/ca/carlsbad/220/,33.1266502,-117.2546644,train
Cathedral City (118),67720 E Palm Canyon Dr,Cathedral City,CA,92234,760-202-0090,https://locations.traderjoes.com/ca/cathedral-city/118/,33.7892267,-116.4830866,train
Cerritos (104),12861 Towne Center Dr,Cerritos,CA,90703,562-402-5148,https://locations.traderjoes.com/ca/cerritos/104/,33.8689672,-118.058037,train
Chatsworth (184),10330 Mason Ave,Chatsworth,CA,91311,818-341-3010,https://locations.traderjoes.com/ca/chatsworth/184/,34.2582554,-118.5787951,train
Chico (199),"801 East Ave, Ste 110",Chico,CA,95926,530-343-9920,https://locations.traderjoes.com/ca/chico/199/,,,train
Chino Hills (216),13911 Peyton Drive,Chino Hills,CA,91709,909-627-1404,https://locations.traderjoes.com/ca/chino-hills/216/,33.9995407,-117.7327629,train
Clovis (180),1077 N Willow Ave,Clovis,CA,93611,559-325-3120,https://locations.traderjoes.com/ca/clovis/180/,36.8495643,-119.7280729,train
Concord (60),1150 Concord Ave,Concord,CA,94520,925-689-2990,https://locations.traderjoes.com/ca/concord/60/,37.979301,-122.0561587,train
Concord (83),785 Oak Grove Rd,Concord,CA,94518,925-521-1134,https://locations.traderjoes.com/ca/concord/83/,37.9378109,-122.0258394,train
Corona (213),2790 Cabot Dr,Corona,CA,92883,951-603-0299,https://locations.traderjoes.com/ca/corona/213/,33.8111592,-117.5062534,train
Costa Mesa (290),"2170 Harbor Blvd, Ste 100",Costa Mesa,CA,92627,949-208-7420,https://locations.traderjoes.com/ca/costa-mesa/290/,,,train
Costa Mesa (35),640 W 17th St,Costa Mesa,CA,92627,949-642-5134,https://locations.traderjoes.com/ca/costa-mesa/35/,33.6359623,-117.9246232,train
Culver City (251),6150 Slauson Ave,Culver City,CA,90230,310-313-0441,https://locations.traderjoes.com/ca/culver-city/251/,33.9879295,-118.3930851,train
Culver City (36),9290 Culver Blvd,Culver City,CA,90232,310-202-1108,https://locations.traderjoes.com/ca/culver-city/36/,34.0249362,-118.3933957,train
Cypress (Rossmoor) (242),5245 Katella Ave.,Cypress,CA,90720,714-220-4930,https://locations.traderjoes.com/ca/cypress/242/,33.8031366,-118.0377944,train
Daly City (74),417 Westlake Center,Daly City,CA,94015,650-755-3825,https://locations.traderjoes.com/ca/daly-city/74/,37.7001684,-122.4822883,train
Danville (65),85 Railroad Ave,Danville,CA,94526,925-838-5757,https://locations.traderjoes.com/ca/danville/65/,37.8229304,-122.0032173,train
Davis (182),885 Russell Blvd,Davis,CA,95616,530-757-2693,https://locations.traderjoes.com/ca/davis/182/,38.5467537,-121.7614973,train
Eagle Rock (55),1566 Colorado Blvd,Eagle Rock,CA,90041,323-257-6422,https://locations.traderjoes.com/ca/eagle-rock/55/,34.1390839,-118.2003769,train
El Cerrito (108),225 El Cerrito Plaza,El Cerrito,CA,94530,510-524-7609,https://locations.traderjoes.com/ca/el-cerrito/108/,,,train
Elk Grove (190),9670 Bruceville Road,Elk Grove,CA,95757,916-686-9980,https://locations.traderjoes.com/ca/elk-grove/190/,38.4065756,-121.4202938,train
Emeryville (72),5700 Christie Ave,Emeryville,CA,94608,510-658-8091,https://locations.traderjoes.com/ca/emeryville/72/,37.837028,-122.2942547,train
Encino (56),17640 Burbank Blvd,Encino,CA,91316,818-990-7751,https://locations.traderjoes.com/ca/encino/56/,34.1718379,-118.5177851,train
Escondido (105),1885 S Centre City Pkwy,Escondido,CA,92025,760-233-4020,https://locations.traderjoes.com/ca/escondido/105/,33.1000685,-117.0747179,train
Fair Oaks (71),5309 Sunrise Blvd,Fair Oaks,CA,95628,916-863-1744,https://locations.traderjoes.com/ca/fair-oaks/71/,38.6620983,-121.2749434,train
Fairfield (101),"1350 Gateway Blvd, Ste A1-A7",Fairfield,CA,94533,707-434-0144,https://locations.traderjoes.com/ca/fairfield/101/,,,train
Folsom (172),850 East Bidwell,Folsom,CA,95630,916-817-8820,https://locations.traderjoes.com/ca/folsom/172/,38.6724297,-121.1558851,train
Fremont (77),39324 Argonaut Way,Fremont,CA,94538,510-794-1386,https://locations.traderjoes.com/ca/fremont/77/,37.5435716,-121.9860846,train
Fresno (8),8478 N. Friant Road,Fresno,CA,93720,559-433-6478,https://locations.traderjoes.com/ca/fresno/8/,36.8580653,-119.7826005,train
Glendale (53),103 E Glenoaks Blvd,Glendale,CA,91207,818-507-8192,https://locations.traderjoes.com/ca/glendale/53/,34.1597397,-118.254494,train
Goleta (110),5767 Calle Real,Goleta,CA,93117,805-692-2234,https://locations.traderjoes.com/ca/goleta/110/,34.4407421,-119.8250202,train
Granada Hills (44),11114 Balboa Blvd,Granada Hills,CA,91344,818-368-6461,https://locations.traderjoes.com/ca/granada-hills/44/,34.2726605,-118.5016373,train
Hermosa Beach (248),1100 Pacific Coast Hwy,Hermosa Beach,CA,90254,310-318-1767,https://locations.traderjoes.com/ca/hermosa-beach/248/,33.8639002,-118.391905,train
Huntington Beach - Brookhurst (241),21431 Brookhurst St,Huntington Beach,CA,92646,714-968-4070,https://locations.traderjoes.com/ca/huntington-beach/241/,33.6517938,-117.954554,train
Irvine - University Ctr (111),4225 Campus Dr,Irvine,CA,92612,949-509-6138,https://locations.traderjoes.com/ca/irvine/111/,33.6503583,-117.8375537,train
Irvine - Woodbury Town Center (210),6222 Irvine Blvd,Irvine,CA,92620,949-551-6402,https://locations.traderjoes.com/ca/irvine/210/,33.6985059,-117.743302,train
La Canada (42),475 Foothill Blvd,La Canada,CA,91011,818-790-6373,https://locations.traderjoes.com/ca/la-canada/42/,34.2000835,-118.1883764,train
La Mesa (24),5495 Grossmont Center Dr,La Mesa,CA,91942,619-466-0105,https://locations.traderjoes.com/ca/la-mesa/24/,32.7791359,-117.0057306,train
La Quinta (189),46400 Washington St,La Quinta,CA,92253,760-777-1553,https://locations.traderjoes.com/ca/la-quinta/189/,33.7112353,-116.295067,train
La Verne (277),2330 Foothill Blvd,La Verne,CA,91750,909-901-4568,https://locations.traderjoes.com/ca/la-verne/277/,34.1118295,-117.7610509,train
Ladera Ranch (257),27542 Antonio Pkwy,Ladera Ranch,CA,92694,949-239-6429,https://locations.traderjoes.com/ca/ladera-ranch/257/,33.5629148,-117.6275246,train
Laguna Hills (39),"24231 Avenida De La Carlota, Suite 100",Laguna Hills,CA,92653,949-461-0927,https://locations.traderjoes.com/ca/laguna-hills/39/,,,train
Laguna Niguel - Ocean Ranch (103),32351 Street of the Golden Lantern,Laguna Niguel,CA,92677,949-493-8599,https://locations.traderjoes.com/ca/laguna-niguel/103/,33.4930125,-117.6966048,train
Livermore (208),1122 A East Stanley Blvd,Livermore,CA,94550,925-243-1947,https://locations.traderjoes.com/ca/livermore/208/,37.6783918,-121.7846059,train
Long Beach - Bellflower Blvd (194),2222 North Bellflower Blvd,Long Beach,CA,90815,562-596-2514,https://locations.traderjoes.com/ca/long-beach/194/,33.7966967,-118.1230626,train
Long Beach - Bixby Knolls (116),4210 Long Beach Blvd,Long Beach,CA,90807,562-422-1020,https://locations.traderjoes.com/ca/long-beach/116/,33.8358267,-118.1885399,train
Long Beach - PCH (43),6451 E Pacific Coast Hwy,Long Beach,CA,90803,562-596-4388,https://locations.traderjoes.com/ca/long-beach/43/,33.7615527,-118.1143996,train
Los Altos (127),2310 Homestead Rd,Los Altos,CA,94024,408-245-1917,https://locations.traderjoes.com/ca/los-altos/127/,37.3363953,-122.066598,train
Los Angeles (31),263 S La Brea Ave,Los Angeles,CA,90036,323-965-1989,https://locations.traderjoes.com/ca/los-angeles/31/,34.0691676,-118.3443578,train
Los Angeles - 3rd & Fairfax (240),175 South Fairfax Ave,Los Angeles,CA,90036,323-931-4012,https://locations.traderjoes.com/ca/los-angeles/240/,34.0719415,-118.3616547,train
Los Angeles - Burton Way (237),8500 Burton Way,Los Angeles,CA,90048,310-248-2984,https://locations.traderjoes.com/ca/los-angeles/237/,34.0711651,-118.3770707,train
Silver Lake (17),2738 Hyperion Ave,Los Angeles,CA,90027,323-665-6774,https://locations.traderjoes.com/ca/los-angeles/17/,34.107207,-118.2720445,train
Sunset Blvd (192),8000 W Sunset Blvd,Los Angeles,CA,90046,323-822-7663,https://locations.traderjoes.com/ca/los-angeles/192/,34.0977188,-118.365044,train
USC Village (250),"3131 S Hoover Street, Suite 1920",Los Angeles,CA,90089,213-749-1497,https://locations.traderjoes.com/ca/los-angeles/250/,,,train
West Los Angeles - Sepulveda (119),3456 S Sepulveda Blvd,Los Angeles,CA,90034,310-836-2458,https://locations.traderjoes.com/ca/los-angeles/119/,34.0201544,-118.4228153,train
Westwood (234),1000 Glendon Ave,Los Angeles,CA,90024,310-824-1495,https://locations.traderjoes.com/ca/los-angeles/234/,34.0621165,-118.4439469,train
Los Gatos (181),15466 Los Gatos Blvd,Los Gatos,CA,95032,408-356-2324,https://locations.traderjoes.com/ca/los-gatos/181/,37.2445654,-121.958614,train
Manhattan Beach - Rosecrans Blvd (106),1800 Rosecrans Blvd,Manhattan Beach,CA,90266,310-725-9800,https://locations.traderjoes.com/ca/manhattan-beach/106/,,,train
Manhattan Beach Blvd (34),1821 Manhattan Beach Blvd,Manhattan Beach,CA,90266,310-372-1274,https://locations.traderjoes.com/ca/manhattan-beach/34/,33.887547,-118.3798207,train
Marina (261),150 10th St,Marina,CA,93933,831-281-7247,https://locations.traderjoes.com/ca/marina/261/,36.6643241,-121.8097793,train
Marina Del Rey (205),4675 Admiralty Way,Marina Del Rey,CA,90292,310-301-4461,https://locations.traderjoes.com/ca/marina-del-rey/205/,33.9795332,-118.4413064,train
Menlo Park (69),720 Menlo Ave,Menlo Park,CA,94025,650-323-2134,https://locations.traderjoes.com/ca/menlo-park/69/,37.4512357,-122.1835596,train
Millbrae (170),765 Broadway,Millbrae,CA,94030,650-259-9142,https://locations.traderjoes.com/ca/millbrae/170/,37.6038042,-122.395901,train
Milpitas (229),1306 Great Mall Pkwy,Milpitas,CA,95035,408-942-6957,https://locations.traderjoes.com/ca/milpitas/229/,37.4125524,-121.8998299,train
Monrovia (112),604 W Huntington Dr,Monrovia,CA,91016,626-358-8884,https://locations.traderjoes.com/ca/monrovia/112/,34.1380129,-118.0121045,train
Monterey (204),"570 Munras Ave, Ste 20",Monterey,CA,93940,831-372-2010,https://locations.traderjoes.com/ca/monterey/204/,,,train
Montrose (52),2462 Honolulu Ave,Montrose,CA,91020,818-957-3613,https://locations.traderjoes.com/ca/montrose/52/,34.2069485,-118.2331818,train
Mountain View (81),590 Showers Dr,Mountain View,CA,94040,650-917-1013,https://locations.traderjoes.com/ca/mountain-view/81/,37.402199,-122.1068663,train
Murrieta (258),40388 Murrieta Hot Springs Rd,Murrieta,CA,92563,951-528-5115,https://locations.traderjoes.com/ca/murrieta/258/,33.5539148,-117.1760019,train
Napa (128),3654 Bel Aire Plaza,Napa,CA,94558,707-256-0806,https://locations.traderjoes.com/ca/napa/128/,38.3227883,-122.3059235,train
Newport Beach (125),8086 E Pacific Coast Hwy,Newport Beach,CA,92657,949-494-7404,https://locations.traderjoes.com/ca/newport-beach/125/,,,train
North Hollywood (252),"6130 Laurel Canyon Bl, Suite 100",North Hollywood,CA,91606,818-762-2963,https://locations.traderjoes.com/ca/north-hollywood/252/,,,train
Northridge (312),9224 Reseda Blvd,Northridge,CA,91325,747-245-4766,https://locations.traderjoes.com/ca/northridge/312/,34.2378132,-118.5359872,train
Oakland - Lakeshore (203),3250 Lakeshore Ave,Oakland,CA,94610,510-238-9076,https://locations.traderjoes.com/ca/oakland/203/,37.8097924,-122.2442621,train
Oakland - Rockridge (231),5727 College Ave,Oakland,CA,94618,510-923-9428,https://locations.traderjoes.com/ca/oakland/231/,37.8455422,-122.252612,train
Pacific Grove (79),1170 Forest Ave,Pacific Grove,CA,93950,831-656-0180,https://locations.traderjoes.com/ca/pacific-grove/79/,36.6055342,-121.9219508,train
Palm Desert (3),44250 Town Center Way,Palm Desert,CA,92260,760-340-2291,https://locations.traderjoes.com/ca/palm-desert/3/,33.7275662,-116.3968576,train
Hastings Ranch (171),467 N Rosemead Blvd,Pasadena,CA,91107,626-351-3399,https://locations.traderjoes.com/ca/pasadena/171/,34.1536991,-118.0782849,train
Pasadena (51),610 S Arroyo Pkwy,Pasadena,CA,91105,626-568-9254,https://locations.traderjoes.com/ca/pasadena/51/,34.1351549,-118.1469377,train
Pasadena (East) (32),3035 E Huntington Dr,Pasadena,CA,91107,626-356-2963,https://locations.traderjoes.com/ca/pasadena/32/,34.1040678,-118.1506652,train
Pasadena - S Lake Ave (179),345 S Lake Ave,Pasadena,CA,91101,626-395-9553,https://locations.traderjoes.com/ca/pasadena/179/,34.1400318,-118.1329307,train
Petaluma (107),169 N McDowell Blvd,Petaluma,CA,94954,707-769-2782,https://locations.traderjoes.com/ca/petaluma/107/,38.2487885,-122.6294115,train
Pinole (230),2742 Pinole Valley Rd,Pinole,CA,94564,510-222-3501,https://locations.traderjoes.com/ca/pinole/230/,37.9952634,-122.2868265,train
Pleasanton (66),3903 Santa Rita Road,Pleasanton,CA,94588,925-468-0763,https://locations.traderjoes.com/ca/pleasanton/66/,37.6969236,-121.8770007,train
Poway (265),13644 Poway Rd,Poway,CA,92064,858-294-6131,https://locations.traderjoes.com/ca/poway/265/,32.9579675,-117.0349203,train
Rancho Cucamonga (217),6401 Haven Ave,Rancho Cucamonga,CA,91737,909-476-1410,https://locations.traderjoes.com/ca/rancho-cucamonga/217/,34.1378465,-117.5741225,train
Rancho Santa Margarita (27),30652 Santa Margarita Pkwy,Rancho Santa Margarita,CA,92688,949-888-3640,https://locations.traderjoes.com/ca/rancho-santa-margarita/27/,33.6424559,-117.5954467,train
Redding (219),845 Browning St,Redding,CA,96003,530-223-4875,https://locations.traderjoes.com/ca/redding/219/,40.5916967,-122.3571455,train
Redlands (99),552 Orange St,Redlands,CA,92374,909-798-3888,https://locations.traderjoes.com/ca/redlands/99/,34.0604619,-117.1812162,train
Redondo Beach (38),1761 S Elena Ave,Redondo Bch.,CA,90277,310-316-1745,https://locations.traderjoes.com/ca/redondo-bch-/38/,33.8185754,-118.386094,train
Rocklin (228),"5116 Commons Dr., #103",Rocklin,CA,95677,916-660-9820,https://locations.traderjoes.com/ca/rocklin/228/,,,train
Roseville (80),1117 Roseville Square,Roseville,CA,95678,916-784-9084,https://locations.traderjoes.com/ca/roseville/80/,38.7462846,-121.2749314,train
Roseville - North (266),10261 Fairway Dr,Roseville,CA,95678,279-217-4579,https://locations.traderjoes.com/ca/roseville/266/,38.7835732,-121.2708638,train
South Pasadena (18),613 Mission St,S. Pasadena,CA,91030,626-441-6263,https://locations.traderjoes.com/ca/s-pasadena/18/,34.1152989,-118.1629595,train
Sacramento (175),5000 Folsom Blvd,Sacramento,CA,95819,916-456-1853,https://locations.traderjoes.com/ca/sacramento/175/,38.5604236,-121.4448978,train
Sacramento (70),2625 Marconi Ave,Sacramento,CA,95821,916-481-8797,https://locations.traderjoes.com/ca/sacramento/70/,38.6185413,-121.400195,train
San Carlos (174),1482 El Camino Real,San Carlos,CA,94070,650-594-2138,https://locations.traderjoes.com/ca/san-carlos/174/,37.4963822,-122.2485587,train
San Clemente (16),638 Camino de Los Mares,San Clemente,CA,92673,949-240-9996,https://locations.traderjoes.com/ca/san-clemente/16/,33.4573061,-117.6492461,train
San Diego - Carmel Mtn Ranch (23),11955 Carmel Mountain Rd,San Diego,CA,92128,858-673-0526,https://locations.traderjoes.com/ca/san-diego/23/,32.982014,-117.074986,train
San Diego - Hillcrest (26),"1090 University Avenue, Ste G100-107",San Diego,CA,92103,619-296-3122,https://locations.traderjoes.com/ca/san-diego/26/,,,train
San Diego - Pacific Beach (21),1640 Garnet Ave,San Diego,CA,92109,858-581-9101,https://locations.traderjoes.com/ca/san-diego/21/,32.8008673,-117.240676,train
San Diego - SDSU (224),"5140 College Ave, Ste 119",San Diego,CA,92115,619-229-9092,https://locations.traderjoes.com/ca/san-diego/224/,,,train
Scripps Ranch (221),9850 Hibert St,San Diego,CA,92131,858-549-9185,https://locations.traderjoes.com/ca/san-diego/221/,32.9139177,-117.1133224,train
San Dimas (28),856 W Arrow Hwy,San Dimas,CA,91773,909-305-4757,https://locations.traderjoes.com/ca/san-dimas/28/,34.103778,-117.8212565,train
San Francisco (100),3 Masonic Ave,San Francisco,CA,94118,415-346-9964,https://locations.traderjoes.com/ca/san-francisco/100/,37.7833984,-122.4478425,train
San Francisco (Hayes Valley) (226),788 Laguna St,San Francisco,CA,94102,415-718-0175,https://locations.traderjoes.com/ca/san-francisco/226/,37.7781179,-122.4264269,train
San Francisco - 9th St (78),555 9th St,San Francisco,CA,94103,415-863-1292,https://locations.traderjoes.com/ca/san-francisco/78/,37.7709988,-122.4077368,train
San Francisco - Nob Hill (200),1095 Hyde St,San Francisco,CA,94109,415-292-7665,https://locations.traderjoes.com/ca/san-francisco/200/,37.7907686,-122.4179305,train
San Francisco - North Beach (19),401 Bay St,San Francisco,CA,94133,415-351-1013,https://locations.traderjoes.com/ca/san-francisco/19/,37.8054807,-122.4137896,train
San Francisco - Pacific Place (225),10 4th Street,San Francisco,CA,94103,415-536-7801,https://locations.traderjoes.com/ca/san-francisco/225/,37.785398,-122.4056288,train
San Francisco - Stonestown (236),265 Winston Dr,San Francisco,CA,94132,415-665-1835,https://locations.traderjoes.com/ca/san-francisco/236/,37.7265935,-122.4762074,train
San Jose - Coleman Ave (212),635 Coleman Ave,San Jose,CA,95110,408-298-9731,https://locations.traderjoes.com/ca/san-jose/212/,37.340982,-121.9093784,train
San Jose - Cupertino (232),7250 Bollinger Rd,San Jose,CA,95129,408-873-7384,https://locations.traderjoes.com/ca/san-jose/232/,37.3118312,-122.0302679,train
San Jose - Old Almaden (63),5353 Almaden Expressway #J-38,San Jose,CA,95118,408-264-8120,https://locations.traderjoes.com/ca/san-jose/63/,,,train
San Jose - Westgate West (62),5269 Prospect,San Jose,CA,95129,408-446-5055,https://locations.traderjoes.com/ca/san-jose/62/,37.2921438,-121.9944505,train
San Juan Capistrano (249),32151 Camino Capistrano,San Juan Capistrano,CA,92675,949-496-4150,https://locations.traderjoes.com/ca/san-juan-capistrano/249/,33.4960297,-117.6634466,train
San Luis Obispo (41),3977 Higuera Street,San Luis Obispo,CA,93401,805-783-2780,https://locations.traderjoes.com/ca/san-luis-obispo/41/,35.2450515,-120.6732686,train
San Mateo - Hillsdale (245),45 W Hillsdale Blvd,San Mateo,CA,94403,650-286-1509,https://locations.traderjoes.com/ca/san-mateo/245/,37.5354941,-122.298437,train
San Ramon (246),300 Market Place,San Ramon,CA,94583,925-275-8140,https://locations.traderjoes.com/ca/san-ramon/246/,37.7641577,-121.9520829,train
Santa Ana (113),3329 S Bristol St,Santa Ana,CA,92704,714-424-9304,https://locations.traderjoes.com/ca/santa-ana/113/,33.7013463,-117.8842227,train
Santa Barbara (183),3025 De La Vina St,Santa Barbara,CA,93105,805-563-7383,https://locations.traderjoes.com/ca/santa-barbara/183/,34.4389102,-119.728945,train
Santa Barbara (59),222 North Milpas Street,Santa Barbara,CA,93103,805-560-1182,https://locations.traderjoes.com/ca/santa-barbara/59/,34.4249233,-119.68148,train
Canyon Country (263),19037 Golden Valley Rd,Santa Clarita,CA,91387,661-276-1430,https://locations.traderjoes.com/ca/santa-clarita/263/,34.3941858,-118.4616238,train
Santa Cruz (193),700 Front St,Santa Cruz,CA,95060,831-425-0140,https://locations.traderjoes.com/ca/santa-cruz/193/,36.9745224,-122.0248018,train
Santa Maria (239),1303 S Bradley Rd,Santa Maria,CA,93454,805-925-1657,https://locations.traderjoes.com/ca/santa-maria/239/,34.9380455,-120.4209,train
Wilshire (253),"2300 Wilshire Blvd, Ste 101",Santa Monica,CA,90403,310-264-2223,https://locations.traderjoes.com/ca/santa-monica/253/,,,train
Santa Rosa - Cleveland Ave (75),3225 Cleveland Ave,Santa Rosa,CA,95403,707-525-1406,https://locations.traderjoes.com/ca/santa-rosa/75/,38.4735606,-122.7322873,train
Santa Rosa Ave (178),2100 Santa Rosa Ave,Santa Rosa,CA,95407,707-535-0788,https://locations.traderjoes.com/ca/santa-rosa/178/,38.4174917,-122.7120047,train
Santee (260),9680 Mission Gorge Rd,Santee,CA,92071,619-812-3705,https://locations.traderjoes.com/ca/santee/260/,32.8397405,-116.9862422,train
Sherman Oaks (49),14119 Riverside Dr,Sherman Oaks,CA,91423,818-789-2771,https://locations.traderjoes.com/ca/sherman-oaks/49/,34.1579984,-118.4408206,train
Sherman Oaks too (267),14140 Riverside Dr,Sherman Oaks,CA,91423,747-245-6608,https://locations.traderjoes.com/ca/sherman-oaks/267/,34.1573557,-118.4404281,train
Simi Valley (30),,Simi Valley,CA,93065,805-520-3135,https://locations.traderjoes.com/ca/simi-valley/30/,,,train
South Pasadena (Fair Oaks) (4),1129 Fair Oaks Ave,South Pasadena,CA,91030,323-784-1840,https://locations.traderjoes.com/ca/south-pasadena/4/,34.1128895,-118.151408,train
South San Francisco (187),301 MC Lellan Dr,South San Francisco,CA,94080,650-583-6401,https://locations.traderjoes.com/ca/south-san-francisco/187/,,,train
Studio City (122),11976 Ventura Blvd,Studio City,CA,91604,818-509-0168,https://locations.traderjoes.com/ca/studio-city/122/,34.1429858,-118.3933469,train
Sunnyvale (68),316 West El Camino Real,Sunnyvale,CA,94087,408-736-7573,https://locations.traderjoes.com/ca/sunnyvale/68/,37.3679656,-122.0358812,train
Tarzana (264),18700 Ventura Blvd,Tarzana,CA,91356,747-212-1646,https://locations.traderjoes.com/ca/tarzana/264/,34.1702927,-118.5404429,train
Temecula (102),40665 Winchester Rd,Temecula,CA,92591,951-296-9964,https://locations.traderjoes.com/ca/temecula/102/,33.5288349,-117.156097,train
Templeton (211),1111 Rossi Road,Templeton,CA,93465,805-434-9562,https://locations.traderjoes.com/ca/templeton/211/,,,train
Newbury Park (243),125 N Reino Road,Thousand Oaks,CA,91320,805-375-1984,https://locations.traderjoes.com/ca/thousand-oaks/243/,34.1799396,-118.9539342,train
Thousand Oaks (196),451 Avenida De Los Arboles,Thousand Oaks,CA,91360,805-492-7107,https://locations.traderjoes.com/ca/thousand-oaks/196/,34.2189137,-118.8691687,train
Torrance - Hawthorne Blvd (121),19720 Hawthorne Blvd,Torrance,CA,90503,310-793-8585,https://locations.traderjoes.com/ca/torrance/121/,33.8522626,-118.3532417,train
Tracy (269),2530 Naglee Rd,Tracy,CA,95304,209-913-5511,https://locations.traderjoes.com/ca/tracy/269/,37.755664,-121.4661111,train
Tustin (197),1198 Irvine Blvd.,Tustin,CA,92780,714-505-3289,https://locations.traderjoes.com/ca/tustin/197/,33.7464492,-117.8095622,train
Vista (259),1861 University Dr,Vista,CA,92083,760-502-9816,https://locations.traderjoes.com/ca/vista/259/,33.17001,-117.21894,train
Walnut Creek (123),1372 S California Blvd,Walnut Creek,CA,94596,925-945-1674,https://locations.traderjoes.com/ca/walnut-creek/123/,37.8931623,-122.0605269,train
West Hills (50),6751 Fallbrook Ave,West Hills,CA,91307,818-347-2591,https://locations.traderjoes.com/ca/west-hills/50/,34.1930814,-118.6255657,train
West Hollywood (40),7310 Santa Monica Blvd,West Hollywood,CA,90046,323-969-8048,https://locations.traderjoes.com/ca/west-hollywood/40/,34.0905575,-118.3490124,train
Westchester (33),8645 S Sepulveda,Westchester,CA,90045,310-338-9238,https://locations.traderjoes.com/ca/westchester/33/,33.9586411,-118.3965106,train
Westlake Village (58),3835 E Thousand Oaks Blvd,Westlake Village,CA,91362,805-494-5040,https://locations.traderjoes.com/ca/westlake-village/58/,34.1638993,-118.8249784,train
Woodland Hills (209),21055 Ventura Blvd,Woodland Hills,CA,91364,818-712-9475,https://locations.traderjoes.com/ca/woodland-hills/209/,34.1670194,-118.5922849,train
Yorba Linda (176),19655 Yorba Linda Blvd,Yorba Linda,CA,92886,714-970-0116,https://locations.traderjoes.com/ca/yorba-linda/176/,33.8896122,-117.7923302,train
